الكلمة,المعنى,الأمثلة
العاشق/العاشقة (The Lover),"شخصية مفعمة بالشغف والاستعداد لفعل أي شيء من أجل الحب. يدفعها الولاء والرغبة في الارتباط العاطفي، لكنها قد تضحي بكل شيء من أجل من تحب، حتى الهوية أو الحياة. نقاط القوة: الإخلاص، الشغف. نقاط الضعف: فقدان الذات، التضحية المفرطة. الدافع: الحب والعلاقات.","""إدوارد"" في ""توايلايت""، ""روميو وجولييت""."
الساحر/الساحرة (The Magician),"يسعى إلى المعرفة والسيطرة، وقد يكون مصدر إعجاب أو رعب. يختلف عن الحكيم بتركيزه على فرض الإرادة. نقاط القوة: الحكمة، القوة. نقاط الضعف: الغرور. الدافع: خلق النظام والسيطرة على العالم.","""شيرلوك هولمز""، ""الدكتور سترينج""، ""جاي غاتسبي""."
المرشد/الحكيم (The Mentor/Sage),"شخصية حكيمة وموثوقة ترشد البطل وتساعده على النمو، لكنها غالبًا تبقى على الهامش.","""غاندالف""."
اليتيم (The Orphan),"يمثل الأمل في التحول من التهميش إلى الانتماء. يسعى للعثور على عائلة أو مجتمع. نقاط القوة: المثابرة، التعاطف، النجاة. نقاط الضعف: قلة الثقة بالنفس، إرضاء الآخرين. الدافع: الانتماء والبقاء.","""هاري بوتر""، ""أوليفر تويست""، ""كوازيمودو""."
المتمرد (The Rebel),"يثور على الوضع القائم ويسعى لتغييره مهما كانت الصعوبات. نقاط القوة: الإصرار، الذكاء. نقاط الضعف: نقص الموارد والسلطة. الدافع: التغيير.","""كاتنيس إيفردين""، ""هيستر براين""، ""فيريس بيولر""."
الحاكم/القائد (The Ruler),"شخصية قيادية تسعى للسيطرة والنظام، لكنها قد تتجه للاستبداد. نقاط القوة: السلطة، الكاريزما. نقاط الضعف: عدم التفويض، الشك. الدافع: الحفاظ على السيطرة.","""مكبث""، ""ميرندا بريستلي""، ""السيد بيرنز""."
المغرية/الإغوائية (The Seductress),"شخصية تُغري الآخرين بالجمال أو الوعود، لكن غالبًا ما تكون مخادعة. نقاط القوة: الجاذبية، التأثير. نقاط الضعف: الوعد الزائف، انعدام القيم. الدافع: الهيمنة والسيطرة.","""مفيستوفيليس""، ""دليلة""، شخصيات نسائية في ""الأوديسة""."
المحارب (The Warrior),"محارب يواجه التحديات بمهاراته وقوته، لكنه يمر بأزمة ثقة. نقاط القوة: الشجاعة، القوة، الكفاءة. نقاط الضعف: الغرور. الدافع: الانتصار وإثبات الذات.","""هرقل""، ""أوديسيوس""، ""أراغورن""، شخصيات توم كروز."
الشرير (Villain),"يمثل قوى الشر والدمار، ويعارض البطل بهدف إلحاق الأذى أو الفساد.",—
المُعتني/المُعيل (The Caregiver),"شخصية إيثارية تقدم الرعاية والتضحية للآخرين. غالبًا ما تكون أمًا أو صديقًا مخلصًا. نقاط القوة: الكرم، الإخلاص. نقاط الضعف: سهولة الاستغلال. الدافع: الحماية والمساعدة.","""إيفا""، ""ساموايز""، ""ماري بوبينز""."
الطفل (The Child),"رمز البراءة والتفاؤل والخيال، لكنه يواجه واقع الحياة. نقاط القوة: البراءة، الإبداع. نقاط الضعف: السذاجة، الضعف. الدافع: السعادة.","""سكاوت""، ""دوروثي""."
